"","Player","Squad","Comp","Age","DOB","TmPos","Nation","player_num","player_foot","player_height_mtrs","player_market_value_euro","Season_End_Year","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast.x","G+A","G_minus_PK","PK","PKatt","CrdY.x","CrdR.x","xG_Expected.x","npxG_Expected.x","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Mins_Per_90.x","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int.x","Tkl+Int","Clr","Err","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url","PlayerFBref","UrlTmarkt"
"1","Aaron Cresswell","West Ham","Premier League",34,1989-12-15,"Left-Back","ENG","3","left","1.7",9e+05,2024,11,4,436,4.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,4,26,6,0,0,0,0,0,0,0.09,0.09,0,0.09,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0.4,0.3,-0.4,5,15,4,0,26,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,326,18,125,141,61,1,326,1,0,0,1,100,169,522,220,4,5,0,0,2,210,6,40,12.7,4,77,2,7,18,21,1,6,11,-5,-1.03,-0.76,6.6,5.6,0.9,0.19,0,2,3,1,11,2,0,0,0,18,6,3,66.7,"https://fbref.com/en/players/4f974391/Aaron-Cresswell","Aaron Cresswell","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571"
"2","Aaron Hickey","Brentford","Premier League",22,2002-06-10,"Left-Back","SCO","2","both","1.85",2.8e+07,2024,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,7.9,0,7,1,14.3,0.88,0.13,0,0,25.3,0,0,0,0.03,-0.2,-0.2,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70,0.1,0.1,-0.1,1,10,2,0,21,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7,7,0.88,6,0,0,0,1,0,0,0,0,0,0,0,0,0,16,9,9,3,4,7,7,100,0,7,3,4,3,19,10,0,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,79,20.8,9,79,2,0,0,0,1.11,10,12,-2,-0.25,-0.02,10.3,10.3,0.1,0.01,0,10,16,0,5,9,0,0,0,42,1,9,10,"https://fbref.com/en/players/1780bb4a/Aaron-Hickey","Aaron Hickey","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949"
"3","Aaron Malouda","Lille","Ligue 1",18,2005-11-30,"Left Winger","FRA","-","right","1.83",150000,2024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8,3,0,0,0,0,-0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4fe2648c/Aaron-Malouda","Aaron Malouda","https://www.transfermarkt.com/aaron-malouda/profil/spieler/974996"
"4","Aaron Ramsdale","Arsenal","Premier League",26,1998-05-14,"Goalkeeper","ENG","1","right","1.9",2.5e+07,2024,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,188,69.7,3303,2420,38,38,100,61,62,98.4,32,86,37.2,0,0,0,0,4,0,0,2,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,197,140,186,11,0,0,197,0,0,0,0,0,137,697,399,0,0,0,1,0,104,0,90,15.8,6,90,6,0,0,31,2.67,11,5,6,1,-0.75,11.1,5.8,5.3,0.89,0,0,1,0,0,0,0,0,0,6,0,0,0,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale","Aaron Ramsdale","https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568"
"5","Aaron Ramsey","Burnley","Premier League",21,2003-01-21,"Attacking Midfield","ENG","21","right","1.81",1.5e+07,2024,14,5,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,8,17,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,5.9,0,6,2,33.3,1.02,0.34,0,0,16.5,0,0,0,0.06,-0.3,-0.3,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90,0.4,0.5,-0.4,1,7,2,0,8,151,141,9,1,1,0,2,2,0,0,0,0,118,1,9,5,0.85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,7,5,5,8,16,50,8,11,2,9,1,18,10,0,228,15,63,102,65,9,228,10,3,30,6,60,117,514,168,8,5,4,11,10,142,17,38,15.4,5,68,0,9,21,3,0.36,4,17,-13,-2.22,-1.47,5.4,11.5,-6.1,-1.04,0,7,3,1,2,14,0,1,0,24,4,5,44.4,"https://fbref.com/en/players/e1618c22/Aaron-Ramsey","Aaron Ramsey","https://www.transfermarkt.com/aaron-ramsey/profil/spieler/646658"
"6","Aaron Seydel","Darmstadt 98","Bundesliga",28,1996-02-07,"Centre-Forward","GER","22","left","1.99",5e+05,2024,16,5,619,6.9,1,0,1,1,0,0,1,0,1,1,0.7,1.7,7,10,35,0.15,0,0.15,0.15,0.15,0.15,0.1,0.25,0.15,0.25,6.9,1,14,6,42.9,2.04,0.87,0.07,0.17,16.8,0,0,0,0.07,0,0,110,190,57.9,1535,254,66,99,66.7,33,65,50.8,4,6,66.7,0.7,0.6,-0.7,9,9,1,0,10,190,176,12,0,0,0,1,2,0,0,0,0,110,2,7,13,1.89,12,0,0,0,1,0,1,0.15,1,0,0,0,0,0,3,2,0,2,1,0,3,0,3,8,2,6,1,4,9,0,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,39,20.2,5,72,2,11,23,2,0.5,6,15,-9,-1.31,0.42,5.7,13.5,-7.8,-1.14,0,9,7,2,1,2,0,0,0,14,45,31,59.2,"https://fbref.com/en/players/85b6462d/Aaron-Seydel","Aaron Seydel","https://www.transfermarkt.com/aaron-seydel/profil/spieler/187499"
"7","Aaron Wan-Bissaka","Manchester Utd","Premier League",26,1997-11-26,"Right-Back","ENG","29","right","1.83",2e+07,2024,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,30,77,54,0,0.1,0.1,0,0.1,0.01,0.08,0.08,0.01,0.08,19.8,0,3,1,33.3,0.15,0.05,0,0,20.2,0,0,0,0.04,-0.1,-0.1,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50,1.5,1.4,0.5,12,51,16,3,77,986,839,145,7,0,1,14,138,0,0,0,0,823,2,27,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,81,52,20,88,16,2,11,3,1.32,30,34,-4,-0.2,-0.37,25.3,37.9,-12.7,-0.64,0,17,9,0,14,25,0,1,0,94,21,19,52.5,"https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka","Aaron Wan-Bissaka","https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758"
"8","Aarón Escandell","Las Palmas","La Liga",28,1995-09-27,"Goalkeeper","ESP","1","right","1.84",1e+06,2024,2,1,153,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,86,74.4,1579,1172,15,15,100,29,29,100,18,39,46.2,0,0,0,0,1,0,0,0,86,65,20,8,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88,69,87,1,0,0,88,0,0,0,0,0,42,156,108,0,0,0,0,0,44,0,77,4.5,1,90,1,1,63,33,0.33,1,4,-3,-1.76,-1.46,0.3,3.7,-3.5,-2.04,0,0,0,0,0,0,0,0,0,5,0,0,0,"https://fbref.com/en/players/67669ce7/Aaron-Escandell","Aarón Escandell","https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430"
"9","Aarón Martín","Genoa","Serie A",27,1997-04-22,"Left-Back","ESP","3","left","1.78",5e+06,2024,22,17,1376,15.3,0,1,1,0,0,0,4,1,0.2,0.2,1.7,1.9,28,35,72,0,0.07,0.07,0,0.07,0.01,0.11,0.12,0.01,0.12,15.3,0,5,0,0,0.33,0,0,0,24.8,2,0,0,0.03,-0.2,-0.2,431,619,69.6,7748,2727,195,216,90.3,169,227,74.4,54,128,42.2,1.7,1.7,-0.7,26,26,16,11,35,619,495,119,16,0,2,106,71,32,7,21,0,431,5,22,33,2.16,20,12,1,0,0,0,2,0.13,2,0,0,0,0,0,21,10,7,10,4,9,22,40.9,13,12,4,8,9,30,15,0,703,26,166,288,255,10,703,12,6,50,6,50,367,1839,972,28,21,3,12,4,432,72,63,40.2,17,76,7,5,17,10,1.27,22,20,2,0.13,0.22,14.2,19.4,-5.2,-0.34,1,23,17,2,106,10,0,0,0,48,8,11,42.1,"https://fbref.com/en/players/2f3e911a/Aaron-Martin","Aarón Martín","https://www.transfermarkt.com/aaron-martin/profil/spieler/251878"
"10","Abakar Sylla","Strasbourg","Ligue 1",21,2002-12-25,"Centre-Back","CIV","24","left","1.88",1.2e+07,2024,22,19,1792,19.9,2,0,2,2,0,0,4,0,1.6,1.6,0.5,2,8,72,2,0.1,0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1,19.9,2,11,5,45.5,0.55,0.25,0.18,0.4,14.6,0,0,0,0.14,0.4,0.4,1111,1266,87.8,19769,6698,436,473,92.2,567,618,91.7,81,139,58.3,0.5,0.2,-0.5,5,52,4,0,72,1266,1186,79,30,0,7,3,17,0,0,0,0,1111,1,5,14,0.7,12,0,0,0,0,2,1,0.05,0,0,0,0,0,1,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,81,58.6,19,88,16,3,42,9,1.18,24,32,-8,-0.4,-0.12,27,26.3,0.6,0.03,0,30,4,1,3,23,0,0,1,124,32,21,60.4,"https://fbref.com/en/players/29c91632/Abakar-Sylla","Abakar Sylla","https://www.transfermarkt.com/abakar-sylla/profil/spieler/962555"
